,START,UPTIME,TEMP,PRESURE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,RSSI,GROUND_UTIME,END
,CVC-CANSAT-START,205.373,19.1584,991.565,-0.008594,-0.00305096,-0.000758083,-0.000372655,8.34276e-05,4.31338e-06, -74, 45.244,CVC-CANSAT-END 
,CVC-CANSAT-START,206.167,19.151,991.577,-0.00858827,-0.00307102,-0.000788177,-0.000371129,8.32323e-05,4.22463e-06, -73, 46.039,CVC-CANSAT-END 
,CVC-CANSAT-START,206.962,19.1459,991.58,-0.00856247,-0.00306673,-0.000825437,-0.000371945,8.32501e-05,4.40214e-06, -73, 46.834,CVC-CANSAT-END 
,CVC-CANSAT-START,207.757,19.1535,991.566,-0.00860116,-0.00307102,-0.000839767,-0.000372797,8.32146e-05,4.68614e-06, -73, 47.634,CVC-CANSAT-END 
,CVC-CANSAT-START,208.558,19.141,991.585,-0.00859543,-0.00307676,-0.000806807,-0.000372726,8.28418e-05,4.06488e-06, -73, 48.433,CVC-CANSAT-END 
,CVC-CANSAT-START,209.357,19.151,991.565,-0.00859973,-0.00309395,-0.000786744,-0.000372318,8.30903e-05,4.06488e-06, -73, 49.228,CVC-CANSAT-END 
,CVC-CANSAT-START,210.152,19.1484,991.595,-0.0086026,-0.00306386,-0.000773847,-0.000372939,8.31258e-05,4.27788e-06, -73, 50.023,CVC-CANSAT-END 
,CVC-CANSAT-START,210.947,19.151,991.591,-0.00856534,-0.00309109,-0.000831169,-0.000371981,8.28773e-05,4.56189e-06, -73, 50.818,CVC-CANSAT-END 
,CVC-CANSAT-START,211.742,19.151,991.575,-0.00858827,-0.00309109,-0.000765248,-0.000372229,8.27708e-05,4.06488e-06, -74, 51.613,CVC-CANSAT-END 
,CVC-CANSAT-START,212.537,19.151,991.567,-0.00856391,-0.00311975,-0.000759516,-0.000371235,8.27353e-05,4.31338e-06, -75, 52.408,CVC-CANSAT-END 
,CVC-CANSAT-START,213.332,19.151,991.564,-0.0085725,-0.00305383,-0.000821137,-0.000373259,8.28951e-05,4.29563e-06, -74, 53.207,CVC-CANSAT-END 
,CVC-CANSAT-START,214.13,19.1658,991.56,-0.00861119,-0.00310685,-0.000785311,-0.000373809,8.33033e-05,4.15363e-06, -74, 54.001,CVC-CANSAT-END 
,CVC-CANSAT-START,214.925,19.1535,991.576,-0.00863986,-0.00304953,-0.000834035,-0.000373028,8.33743e-05,4.11813e-06, -74, 54.801,CVC-CANSAT-END 
,CVC-CANSAT-START,215.725,19.1535,991.585,-0.00854241,-0.00305813,-0.000845499,-0.000372087,8.27176e-05,3.90512e-06, -74, 55.601,CVC-CANSAT-END 
